From_Date,To_Date
06/24/2022,07/04/2022

CourierId,VoucherNum,Courier_type,pieces,PickupId,VoucherNum2,pAddr1,Paddr21,City_State,Pu_Tm,VoucherNum3,dAddr1,Paddr22,Dcity_Dstate,Del_Tm,Textbox37,Total_Amount
34769 -  AUTOMATION COURIER,,,,,,,,,,,,,,,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32404652 / 06/24/2022,PU,PCS : 10     WT : 50.00,PU#   3409889,Automation,1525 14th St NW,,"WASHINGTON, DC 20005",PU TM : 6/24/2022 03:26,WASHINGTON NATL (DCA),1 Aviation Cir,,"WASHINGTON, DC 22202",DEL TM : 6/24/2022 04:34,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32404683 / 06/24/2022,PU,PCS : 10     WT : 50.00,PU#   3409920,Automation,1525 14th St NW,,"WASHINGTON, DC 20005",PU TM : 6/24/2022 05:30,WASHINGTON NATL (DCA),1 Aviation Cir,,"WASHINGTON, DC 22202",DEL TM : 6/30/2022 06:07,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32407161 / 06/28/2022,PU,PCS : 10     WT : 50.00,PU#   3412398,Automation,1525 14th St NW,,"WASHINGTON, DC 20005",PU TM : 6/30/2022 05:30,WASHINGTON NATL (DCA),1 Aviation Cir,,"WASHINGTON, DC 22202",DEL TM : 6/30/2022 06:58,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32409008 / 06/30/2022,PU,PCS : 10     WT : 50.00,PU#   3414245,Automation,1525 14th St NW,,"WASHINGTON, DC 20005",PU TM : ,WASHINGTON NATL (DCA),1 Aviation Cir,,"WASHINGTON, DC 22202",DEL TM : ,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32409419 / 07/01/2022,PU,PCS : 10     WT : 50.00,PU#   3414656,Automation,1525 14th St NW,,"WASHINGTON, DC 20005",PU TM : 7/1/2022 05:30,WASHINGTON NATL (DCA),1 Aviation Cir,,"WASHINGTON, DC 22202",DEL TM : 7/1/2022 07:42,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32409420 / 07/01/2022,PU,PCS : 10     WT : 50.00,PU#   3414657,Automation,1525 14th St NW,,"WASHINGTON, DC 20005",PU TM : 7/1/2022 05:30,WASHINGTON NATL (DCA),1 Aviation Cir,,"WASHINGTON, DC 22202",DEL TM : 7/1/2022 08:22,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32409421 / 07/01/2022,PU,PCS : 10     WT : 50.00,PU#   3414658,Automation,1525 14th St NW,,"WASHINGTON, DC 20005",PU TM : 7/1/2022 05:30,WASHINGTON NATL (DCA),1 Aviation Cir,,"WASHINGTON, DC 22202",DEL TM : 7/1/2022 09:33,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32404522 / 06/24/2022,PU,PCS : 1     WT : 5.00,PU#   3409759,RAVINA OZA,ABHIJIT 1,,"PALOS HILLS, IL 60465",PU TM : 6/24/2022 01:04,AUTOMATION DEL,301 E 17TH STREET,,"BLUE ISLAND, IL 60406",DEL TM : 6/24/2022 01:06,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32404684 / 06/24/2022,PU,PCS : 2     WT : 20.00,PU#   3409921,Automation,612 E Dallas Rd,Ste 200,"GRAPEVINE, TX 76051",PU TM : 6/26/2022 05:30,AutoTest,44 Folly Road,,"Charleston, SC 29407",DEL TM : 6/27/2022 00:53,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32407160 / 06/27/2022,PU,PCS : 2     WT : 20.00,PU#   3412397,Automation,612 E Dallas Rd,Ste 200,"GRAPEVINE, TX 76051",PU TM : 6/30/2022 05:30,AutoTest,44 Folly Road,,"Charleston, SC 29407",DEL TM : 6/30/2022 06:49,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32409007 / 06/30/2022,PU,PCS : 2     WT : 20.00,PU#   3414244,Automation,612 E Dallas Rd,Ste 200,"GRAPEVINE, TX 76051",PU TM : 6/30/2022 05:30,AutoTest,44 Folly Road,,"Charleston, SC 29407",DEL TM : 7/1/2022 00:45,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32409423 / 07/01/2022,PU,PCS : 2     WT : 20.00,PU#   3414660,Automation,612 E Dallas Rd,Ste 200,"GRAPEVINE, TX 76051",PU TM : 7/1/2022 05:30,AutoTest,44 Folly Road,,"Charleston, SC 29407",DEL TM : 7/1/2022 07:14,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32409432 / 07/01/2022,PU,PCS : 2     WT : 20.00,PU#   3414669,Automation,612 E Dallas Rd,Ste 200,"GRAPEVINE, TX 76051",PU TM : 7/1/2022 05:30,AutoTest,44 Folly Road,,"Charleston, SC 29407",DEL TM : 7/1/2022 07:32,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32409437 / 07/01/2022,PU,PCS : 2     WT : 20.00,PU#   3414674,Automation,612 E Dallas Rd,Ste 200,"GRAPEVINE, TX 76051",PU TM : 7/1/2022 05:30,AutoTest,44 Folly Road,,"Charleston, SC 29407",DEL TM : 7/1/2022 08:18,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32409654 / 07/01/2022,PU,PCS : 2     WT : 20.00,PU#   3414891,Automation,612 E Dallas Rd,Ste 200,"GRAPEVINE, TX 76051",PU TM : 7/1/2022 05:30,AutoTest,44 Folly Road,,"Charleston, SC 29407",DEL TM : 7/1/2022 08:54,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,32409657 / 07/01/2022,PU,PCS : 2     WT : 20.00,PU#   3414894,Automation,612 E Dallas Rd,Ste 200,"GRAPEVINE, TX 76051",PU TM : 7/1/2022 05:30,AutoTest,44 Folly Road,,"Charleston, SC 29407",DEL TM : 7/1/2022 09:28,,           TotalShipment : 16        Total PCS : 87        Total WT :  515      
,,,,,,,,,,,,,,,           Shipment : 16        SubTotal PCS : 87        SubTotal WT :  515      ,           TotalShipment : 16        Total PCS : 87        Total WT :  515      

